State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",RapeRevised,RapeLegacy,Robbery,Aggravated assault,"Property
crime",Burglary,"Larceny-
theft","Motor
vehicle theft",Arson
AR,Perry,46,0,2,,1,43,150,36,114,0,0
AR,Poinsett,6,0,4,,0,2,1,1,0,0,0
AR,Pulaski,375,5,24,,27,319,"1,831",411,"1,190",230,9
AR,Saline,158,2,28,,4,124,837,255,467,115,6
AR,Sebastian,62,0,15,,2,45,313,104,190,19,5
AR,Washington,188,3,18,,0,167,564,185,329,50,5
AR,Arkansas,10,0,0,,3,7,129,42,73,14,2
AR,Ashley,22,0,6,,1,15,184,71,100,13,1
AR,Baxter,57,0,13,,1,43,682,84,551,47,2
AR,Boone,179,0,36,,2,141,310,97,184,29,1
AR,Bradley,8,0,2,,0,6,29,24,2,3,0
AR,Calhoun,4,0,1,,0,3,53,20,30,3,1
AR,Carroll,41,2,7,,0,32,17,1,11,5,1
AR,Chicot,3,0,1,,0,2,76,26,50,0,0
AR,Clark,22,0,0,,1,21,86,18,58,10,1
AR,Clay,6,0,2,,0,4,41,17,21,3,0
AR,Cleburne,78,2,22,,0,54,330,97,199,34,2
AR,Columbia,27,2,1,,0,24,53,28,23,2,2
AR,Conway,21,0,10,,0,11,285,53,203,29,7
AR,Cross,26,0,3,,1,22,121,35,74,12,9
AR,Dallas,4,0,0,,0,4,21,10,11,0,0
AR,Drew,18,0,2,,0,16,131,42,77,12,2
AR,Franklin,52,0,8,,0,44,267,100,149,18,3
AR,Fulton,13,0,2,,0,11,66,0,61,5,0
AR,Greene,25,0,7,,0,18,216,71,135,10,1
AR,Hempstead,31,1,3,,1,26,214,66,121,27,2
AR,Hot Spring,44,1,6,,2,35,226,75,116,35,3
AR,Howard,10,0,0,,0,10,44,32,12,0,0
AR,Independence,152,2,15,,1,134,479,160,269,50,20
AR,Izard,34,0,12,,0,22,245,69,158,18,7
AR,Jackson,25,0,4,,0,21,172,46,98,28,1
AR,Johnson,29,2,6,,2,19,180,110,50,20,3
AR,Lawrence,10,0,1,,1,8,71,26,40,5,2
AR,Lee,9,0,0,,0,9,73,26,39,8,0
AR,Logan,46,2,7,,2,35,280,100,156,24,3
AR,Marion,51,0,9,,1,41,288,77,198,13,7
AR,Mississippi,42,1,10,,2,29,303,98,173,32,3
AR,Monroe,3,0,1,,0,2,44,10,22,12,0
AR,Newton,26,1,3,,0,22,90,35,49,6,3
AR,Ouachita,30,0,2,,0,28,98,33,51,14,3
AR,Pike,4,0,0,,1,3,49,20,26,3,0
AR,Polk,38,0,10,,0,28,99,31,63,5,4
AR,Pope,78,1,11,,4,62,416,173,183,60,10
AR,Prairie,4,0,1,,0,3,42,11,28,3,0
AR,Randolph,29,0,11,,1,17,171,38,126,7,1
AR,Scott,18,0,4,,1,13,75,22,43,10,2
AR,Searcy,11,0,3,,0,8,56,21,32,3,0
AR,Sevier,27,2,5,,0,20,75,37,36,2,3
AR,St. Francis,17,0,5,,1,11,281,87,192,2,1
AR,Stone,26,0,4,,0,22,84,40,41,3,4
AR,Union,49,0,2,,6,41,298,113,165,20,0
AR,Van Buren,39,1,3,,0,35,219,29,162,28,1
AR,White,158,1,39,,2,116,827,230,493,104,3
AR,Woodruff,0,0,0,,0,0,45,9,28,8,0
AR,Yell,32,3,3,,1,25,225,77,120,28,3
CA,Alameda,589,8,30,,204,347,"2,195",490,"1,104",601,20
CA,Butte,183,3,34,,28,118,"1,344",656,666,22,0
CA,Contra Costa,347,9,25,,108,205,"1,485",505,957,23,20
CA,El Dorado,291,1,53,,37,200,"2,085",512,"1,534",39,5
CA,Fresno,"1,177",12,29,,82,"1,054","3,798","1,625","1,468",705,170
CA,Imperial,161,2,8,,12,139,453,129,298,26,9
CA,Kern,"2,403",44,177,,443,"1,739","10,440","3,161","5,109","2,170",281
CA,Kings,157,4,16,,16,121,426,164,236,26,4
CA,Los Angeles,"6,124",94,307,,"1,474","4,249","17,498","3,816","9,328","4,354",227
CA,Madera,434,4,28,,19,383,"1,102",517,568,17,2
CA,Marin,72,3,4,,19,46,730,172,554,4,1
CA,Merced,542,2,18,,33,489,"1,541",601,886,54,8
CA,Monterey,286,11,18,,54,203,"1,377",303,"1,041",33,11
CA,Napa,61,0,7,,8,46,270,93,175,2,0
CA,Orange,229,0,20,,30,179,"1,123",213,765,145,11
CA,Placer,261,1,33,,34,193,"1,539",471,"1,040",28,8
CA,Riverside,841,28,56,,177,580,"7,651","1,695","4,630","1,326",22
CA,Sacramento,"2,797",42,155,,880,"1,720","10,142","3,062","6,943",137,68
CA,San Benito,39,1,6,,4,28,126,64,52,10,1
CA,San Bernardino,924,12,88,,151,673,"5,235","1,525","2,513","1,197",54
CA,San Diego,"1,422",29,115,,206,"1,072","4,617","1,131","2,656",830,26
CA,San Joaquin,793,7,26,,174,586,"3,072",826,"2,106",140,19
CA,San Luis Obispo,356,0,21,,16,319,"1,384",441,920,23,10
CA,San Mateo,298,1,57,,64,176,"2,843",454,"2,089",300,9
CA,Santa Barbara,265,4,49,,32,180,"1,639",476,"1,146",17,7
CA,Santa Clara,316,4,46,,15,251,"1,312",260,826,226,5
CA,Santa Cruz,285,1,36,,44,204,"2,050",485,"1,533",32,14
CA,Shasta,519,5,58,,22,434,962,451,471,40,23
CA,Solano,92,1,2,,17,72,312,115,139,58,9
CA,Sonoma,583,3,91,,48,441,"1,450",494,937,19,12
CA,Stanislaus,470,11,42,,134,283,"1,821",726,"1,034",61,14
CA,Sutter,88,1,7,,6,74,618,235,329,54,2
CA,Tulare4,350,19,28,,62,241,"2,074",756,"1,318",0,1
CA,Ventura,171,2,29,,19,121,767,224,467,76,11
CA,Yolo,56,0,8,,7,41,248,69,158,21,4
CA,Yuba,210,3,11,,32,164,"1,086",335,744,7,18
CA,Alpine,6,0,0,,0,6,34,7,26,1,0
CA,Amador,53,0,6,,8,39,371,142,225,4,3
CA,Calaveras,169,3,26,,16,124,535,183,341,11,0
CA,Colusa,31,0,2,,6,23,186,78,108,0,0
CA,Del Norte,115,0,30,,11,74,355,251,96,8,7
CA,Glenn,34,1,0,,1,32,159,60,96,3,1
CA,Humboldt,265,9,22,,57,177,773,366,385,22,4
CA,Inyo,85,0,7,,5,73,158,67,84,7,1
CA,Lake,179,2,17,,15,145,635,337,283,15,11
CA,Lassen,43,1,4,,2,36,202,87,114,1,0
CA,Mariposa,80,0,12,,1,67,217,53,161,3,0
CA,Mendocino,346,7,42,,19,278,477,246,228,3,5
CA,Modoc,19,1,3,,0,15,44,9,35,0,0
CA,Mono,16,1,2,,1,12,51,20,31,0,0
CA,Nevada,80,5,4,,5,66,697,285,395,17,3
CA,Plumas,120,2,10,,6,102,335,120,207,8,1
CA,Sierra,14,0,0,,0,14,26,8,18,0,1
CA,Siskiyou,52,2,5,,2,43,225,118,102,5,1
CA,Tehama,163,3,6,,12,142,371,235,130,6,2
CA,Trinity,65,3,3,,6,53,234,101,133,0,0
CA,Tuolumne,159,1,45,,9,104,737,350,377,10,6
CO,Adams,523,11,94,,93,325,"2,954",437,"1,582",935,33
CO,Arapahoe,269,4,74,,46,145,"1,381",269,904,208,25
CO,Boulder,83,1,20,,6,56,586,161,388,37,10
CO,Clear Creek,15,0,1,,0,14,64,10,48,6,18
CO,Douglas,326,2,133,,7,184,"1,939",380,"1,366",193,29
CO,El Paso,390,7,80,,25,278,"2,186",402,"1,526",258,30
CO,Gilpin,4,0,1,,0,3,47,12,32,3,1
CO,Jefferson,224,2,66,,15,141,"2,889",454,"2,167",268,13
CO,Larimer,171,2,26,,10,133,930,208,625,97,7
CO,Mesa,180,5,51,,6,118,"1,258",237,924,97,8
CO,Park,16,1,2,,0,13,67,28,29,10,2
CO,Pueblo,35,2,1,,6,26,"1,309",291,858,160,3
CO,Teller,6,0,1,,0,5,90,23,59,8,1
CO,Weld,102,0,12,,6,84,847,259,472,116,4
CO,Alamosa,6,0,2,,0,4,73,9,59,5,0
CO,Archuleta,19,0,3,,1,15,106,32,71,3,0
CO,Baca,1,0,0,,0,1,1,0,1,0,0
CO,Bent,7,0,2,,1,4,139,63,71,5,1
CO,Chaffee,0,0,0,,0,0,70,12,52,6,0
CO,Cheyenne,1,0,0,,0,1,3,2,1,0,0
CO,Conejos,6,0,1,,0,5,62,59,1,2,0
CO,Crowley,5,1,1,,0,3,58,31,20,7,0
CO,Custer,7,0,1,,0,6,99,22,70,7,5
CO,Delta,16,0,13,,1,2,149,49,79,21,0
CO,Dolores,5,0,0,,1,4,17,7,8,2,0
CO,Eagle,33,0,14,,0,19,,37,,15,3
CO,Fremont,28,0,1,,3,24,208,60,123,25,2
CO,Garfield,39,1,15,,2,21,231,57,156,18,3
CO,Gunnison,3,0,0,,1,2,25,1,23,1,0
CO,Hinsdale,4,0,1,,0,3,6,2,4,0,0
CO,Jackson,0,0,0,,0,0,5,0,4,1,0
CO,Kit Carson,5,0,0,,0,5,36,11,21,4,0
CO,La Plata,49,0,22,,1,26,265,75,164,26,3
CO,Lake,6,0,3,,0,3,41,5,34,2,1
CO,Lincoln,1,0,0,,0,1,23,13,7,3,0
CO,Logan,15,0,11,,0,4,125,39,58,28,0
CO,Moffat,3,0,1,,0,2,45,10,31,4,1
CO,Montezuma,21,0,1,,2,18,174,47,117,10,1
CO,Montrose,12,0,6,,1,5,229,93,118,18,2
CO,Morgan,10,0,0,,1,9,116,35,71,10,4
CO,Otero,8,0,0,,0,8,78,34,36,8,0
CO,Phillips,3,0,0,,0,3,4,1,3,0,0
CO,Pitkin,5,0,3,,0,2,55,6,41,8,2
CO,Prowers,3,0,1,,0,2,23,6,12,5,0
CO,Rio Blanco,0,0,0,,0,0,25,2,22,1,0
CO,Rio Grande,2,0,0,,0,2,12,6,4,2,0
CO,Routt,7,0,6,,0,1,37,6,28,3,1
CO,Saguache,4,0,0,,0,4,25,7,14,4,0
CO,San Juan,0,0,0,,0,0,10,1,8,1,0
CO,San Miguel,7,0,1,,0,6,3,2,1,0,0
CO,Summit,30,0,20,,2,8,241,49,183,9,2
CO,Washington,7,0,5,,0,2,88,24,61,3,1
DE,New Castle,969,14,44,,212,699,"5,485","1,318","3,667",500,1
FL,Alachua,519,1,62,,75,381,"2,044",545,"1,377",122,14
FL,Baker,118,1,4,,8,105,316,103,194,19,0
FL,Bay,375,4,40,,41,290,"2,433",536,"1,716",181,6
FL,Brevard,756,6,42,,101,607,"4,494","1,038","3,096",360,19
FL,Broward,380,3,20,,92,265,768,160,529,79,4
FL,Charlotte,379,4,35,,19,321,"2,456",408,"1,948",100,5
FL,Citrus,338,4,40,,39,255,"1,979",426,"1,443",110,8
FL,Clay,450,3,87,,81,279,"3,256",618,"2,475",163,13
FL,Collier,941,7,65,,166,703,"3,994",742,"3,028",224,16
FL,Escambia,"1,614",12,153,,308,"1,141","8,129","1,618","5,958",553,29
FL,Flagler,221,0,16,,29,176,"1,646",306,"1,255",85,7
FL,Gadsden,69,2,6,,5,56,379,173,193,13,2
FL,Gulf,37,0,3,,1,33,163,59,99,5,2
FL,Hernando,412,4,62,,60,286,"3,113",620,"2,283",210,18
FL,Highlands,271,4,21,,40,206,"2,066",548,"1,420",98,10
FL,Hillsborough,"1,926",27,173,,352,"1,374","13,758","2,600","9,972","1,186",75
FL,Indian River,226,1,11,,24,190,"1,782",390,"1,275",117,1
FL,Jefferson,87,0,10,,2,75,152,65,72,15,0
FL,Lake,472,2,52,,36,382,"2,686",711,"1,747",228,12
FL,Lee,"1,379",21,175,,252,931,"6,196","1,427","4,336",433,50
FL,Leon,394,1,39,,42,312,"2,397",670,"1,594",133,12
FL,Manatee,"1,349",18,120,,169,"1,042","5,491","1,070","4,086",335,21
FL,Marion,679,8,58,,93,520,"4,403","1,405","2,529",469,5
FL,Martin,304,6,45,,48,205,"1,909",323,"1,509",77,8
FL,Miami-Dade,"6,278",84,409,,"1,537","4,248","36,318","4,605","28,416","3,297",25
FL,Nassau,137,3,19,,4,111,956,474,433,49,4
FL,Okaloosa,585,4,76,,51,454,"3,057",525,"2,384",148,4
FL,Orange,"5,106",61,498,,"1,159","3,388","25,493","6,091","17,208","2,194",0
FL,Osceola,835,7,79,,83,666,"4,671","1,240","3,173",258,5
FL,Palm Beach,"2,005",25,216,,436,"1,328","13,158","2,968","9,080","1,110",55
FL,Pasco,"1,391",10,165,,169,"1,047","8,594","1,786","6,140",668,41
FL,Pinellas,727,5,111,,149,462,"5,839",907,"4,511",421,22
FL,Polk,"1,374",14,139,,135,"1,086","6,506","1,748","4,124",634,26
FL,Santa Rosa,201,6,52,,16,127,"1,571",349,"1,134",88,6
FL,Sarasota,494,5,31,,68,390,"4,586",797,"3,598",191,1
FL,Seminole,637,6,81,,55,495,"3,224",735,"2,350",139,2
FL,St. Johns,346,4,13,,32,297,"2,896",602,"2,177",117,4
FL,St. Lucie,237,3,29,,30,175,"1,659",369,"1,186",104,9
FL,Sumter,237,0,21,,8,208,891,225,627,39,1
FL,Volusia,609,4,81,,100,424,"4,088",922,"2,881",285,15
FL,Wakulla,52,1,3,,4,44,504,134,350,20,2
FL,Walton,175,3,16,,10,146,"1,311",333,901,77,3
FL,Bradford,75,1,4,,1,69,211,96,102,13,1
FL,Calhoun,17,0,1,,0,16,48,16,29,3,0
FL,Columbia,186,1,14,,13,158,995,425,505,65,0
FL,DeSoto,99,1,12,,8,78,622,167,411,44,6
FL,Dixie,80,1,13,,1,65,329,128,191,10,3
FL,Franklin,17,0,1,,0,16,85,20,61,4,0
FL,Glades,29,0,2,,2,25,128,33,85,10,0
FL,Hamilton,26,0,3,,1,22,169,58,99,12,1
FL,Hardee,50,0,8,,6,36,333,105,209,19,0
FL,Hendry,118,5,13,,22,78,675,281,371,23,15
FL,Holmes,64,0,6,,6,52,241,86,137,18,0
FL,Jackson,94,0,16,,6,72,681,167,474,40,2
FL,Lafayette,13,0,0,,0,13,60,27,31,2,1
FL,Levy,403,1,8,,2,392,461,139,294,28,1
FL,Liberty,2,1,0,,0,1,7,1,4,2,0
FL,Madison,126,1,6,,2,117,240,108,132,0,2
FL,Monroe,179,1,21,,15,142,"1,061",205,807,49,0
FL,Okeechobee,132,5,18,,10,99,953,204,680,69,0
FL,Putnam,265,4,33,,28,200,"1,201",396,743,62,11
FL,Suwannee,155,3,11,,8,133,404,123,243,38,0
FL,Taylor,182,2,9,,1,170,267,116,135,16,2
FL,Union,37,2,0,,2,33,60,25,34,1,1
FL,Washington,30,0,3,,3,24,167,60,92,15,1
GA,Augusta-Richmond,845,18,,66,323,438,"8,643","1,637","6,560",446,
GA,Bartow,338,0,,27,33,278,"2,181",508,"1,451",222,0
GA,Bibb,756,15,,53,261,427,"7,934","1,939","5,395",600,67
GA,Brantley,40,0,,7,5,28,478,119,344,15,0
GA,Brooks,35,0,,0,4,31,179,50,118,11,1
GA,Bryan,93,2,,5,1,85,269,74,188,7,2
GA,Burke,55,3,,0,0,52,447,103,325,19,0
GA,Butts,90,1,,2,7,80,368,71,276,21,0
GA,Carroll,165,1,,19,21,124,"1,398",484,786,128,16
GA,Catoosa,74,2,,5,8,59,904,165,584,155,7
GA,Cherokee,123,4,,25,15,79,"1,568",286,"1,256",26,5
GA,Clarke,0,0,,0,0,0,0,0,0,0,0
GA,Clayton,6,0,,0,1,5,27,5,19,3,0
GA,Clayton PD,"1,504",39,,162,603,700,"8,686","2,348","5,081","1,257",16
GA,Cobb,79,0,,5,8,66,39,8,31,0,0
GA,Cobb County Police Department,"1,262",16,,88,461,697,"11,609","2,184","8,490",935,33
GA,Columbia,65,8,,9,17,31,"1,952",202,"1,680",70,4
GA,Coweta,116,0,,16,25,75,"1,372",336,940,96,6
GA,Crawford,23,0,,2,2,19,252,62,167,23,0
GA,Dawson,24,0,,6,2,16,442,73,331,38,1
GA,DeKalb,0,0,,0,0,0,0,0,0,0,0
GA,DeKalb County Police Department,"3,452",76,,138,"1,595","1,643","23,887","6,024","14,072","3,791",141
GA,Dougherty,1,0,,0,0,1,171,0,171,0,0
GA,Dougherty County Police Department,44,0,,3,8,33,308,107,183,18,0
GA,Douglas,235,7,,13,60,155,"2,636",488,"2,015",133,6
GA,Echols,3,0,,1,0,2,27,12,14,1,0
GA,Effingham,41,0,,6,7,28,435,192,199,44,0
GA,Fayette,33,1,,4,11,17,405,104,276,25,0
GA,Floyd,16,0,,1,4,11,81,21,56,4,0
GA,Floyd County Police Department,84,1,,17,11,55,"1,216",351,754,111,10
GA,Fulton,11,0,,2,1,8,11,0,11,0,0
GA,Fulton County Police Department,"1,067",18,,52,333,664,"6,005","1,146","3,863",996,4
GA,Glynn,0,0,,0,0,0,0,0,0,0,0
GA,Glynn County Police Department,201,2,,10,36,153,"1,852",422,"1,316",114,5
GA,Gwinnett County Police Department,"1,738",24,,152,745,817,"14,726","3,182","10,384","1,160",53
GA,Hall,215,3,,22,27,163,"1,999",413,"1,368",218,24
GA,Haralson,125,1,,1,3,120,456,146,271,39,1
GA,Harris,41,0,,1,1,39,227,90,119,18,2
GA,Heard,20,0,,0,1,19,122,40,60,22,0
GA,Henry,0,0,,0,0,0,135,0,135,0,0
GA,Henry County Police Department,334,7,,39,120,168,"4,136",994,"2,697",445,12
GA,Houston,127,0,,9,11,107,"1,087",206,828,53,0
GA,Jasper,56,0,,0,2,54,166,56,98,12,0
GA,Jones,21,0,,1,6,14,418,130,254,34,0
GA,Lamar,18,1,,1,2,14,135,25,89,21,0
GA,Lanier,28,0,,3,0,25,122,23,91,8,
GA,Lee,40,0,,4,8,28,576,112,452,12,
GA,Liberty,99,0,,1,8,90,276,79,176,21,
GA,Lincoln,25,2,,2,1,20,178,31,140,7,0
GA,Long,7,1,,1,2,3,171,77,77,17,0
GA,Lowndes,91,0,,3,6,82,720,229,440,51,
GA,Madison,58,0,,7,8,43,436,125,270,41,5
GA,Marion,2,0,,0,0,2,30,17,10,3,0
GA,McDuffie,31,0,,4,7,20,235,103,117,15,2
GA,McIntosh,23,0,,4,7,12,285,83,183,19,2
GA,Meriwether,43,0,,2,3,38,254,72,173,9,2
GA,Monroe,22,0,,1,0,21,355,90,236,29,1
GA,Newton,364,7,,14,43,300,"1,412",377,862,173,
GA,Oconee,39,2,,0,0,37,507,84,404,19,0
GA,Oglethorpe,46,0,,4,3,39,293,61,214,18,0
GA,Paulding,185,1,,10,17,157,"2,230",418,"1,540",272,40
GA,Peach,26,2,,4,3,17,257,83,151,23,0
GA,Pickens,64,0,,5,0,59,345,77,226,42,
GA,Pike,12,0,,1,0,11,228,41,178,9,0
GA,Rockdale,171,4,,15,30,122,"1,628",320,"1,187",121,9
GA,Spalding,147,0,,13,18,116,"1,220",289,809,122,2
GA,Terrell,10,1,,0,1,8,69,25,42,2,0
GA,Walton,73,0,,8,10,55,795,171,542,82,0
GA,Whitfield,204,0,,27,9,168,"1,424",349,953,122,11
GA,Worth,36,0,,4,0,32,238,79,147,12,0
GA,Baldwin,259,5,,3,12,239,638,154,453,31,2
GA,Banks,57,0,,5,5,47,445,134,290,21,1
GA,Ben Hill,29,1,,1,3,24,223,81,133,9,0
GA,Berrien,14,0,,5,1,8,181,49,126,6,0
GA,Bleckley,12,0,,0,1,11,151,34,109,8,0
GA,Bulloch,28,1,,3,7,17,526,154,341,31,2
GA,Calhoun,4,0,,0,0,4,9,1,7,1,0
GA,Camden,25,0,,0,5,20,257,84,163,10,
GA,Charlton,12,0,,0,1,11,96,38,40,18,0
GA,Chattooga,26,0,,2,3,21,346,101,233,12,0
GA,Clay,4,0,,0,0,4,3,1,2,0,0
GA,Clinch,8,0,,0,0,8,56,19,30,7,1
GA,Coffee,65,1,,7,3,54,780,190,528,62,10
GA,Cook,12,0,,1,4,7,112,31,72,9,0
GA,Crisp,13,0,,0,2,11,363,52,304,7,0
GA,Decatur,48,1,,4,2,41,254,81,163,10,0
GA,Dodge,22,0,,1,2,19,284,86,187,11,0
GA,Dooly,6,0,,0,1,5,81,11,56,14,1
GA,Early,15,0,,1,0,14,84,21,55,8,0
GA,Elbert,27,0,,1,0,26,295,99,166,30,0
GA,Emanuel,10,1,,0,0,9,260,94,149,17,0
GA,Evans,7,0,,0,2,5,26,17,6,3,0
GA,Fannin,19,0,,0,1,18,289,103,161,25,4
GA,Franklin,9,1,,2,1,5,234,58,161,15,1
GA,Gilmer,65,1,,7,3,54,349,119,209,21,0
GA,Glascock,4,0,,0,0,4,18,8,7,3,0
GA,Gordon,106,3,,6,5,92,711,175,480,56,0
GA,Grady,30,0,,1,1,28,181,79,91,11,0
GA,Greene,15,0,,0,0,15,157,27,124,6,0
GA,Habersham,50,1,,9,5,35,348,141,186,21,0
GA,Hancock,19,0,,0,2,17,113,28,75,10,0
GA,Hart,51,0,,3,1,47,294,87,200,7,0
GA,Irwin,6,0,,0,0,6,100,40,54,6,0
GA,Jackson,105,0,,6,7,92,756,120,601,35,
GA,Jeff Davis,25,1,,2,0,22,150,45,99,6,0
GA,Jefferson,28,0,,3,1,24,100,49,45,6,0
GA,Laurens,84,0,,5,2,77,504,162,297,45,1
GA,Lumpkin,12,1,,7,3,1,443,101,321,21,3
GA,Miller,2,0,,0,0,2,28,9,19,0,
GA,Mitchell,36,0,,2,1,33,258,65,184,9,0
GA,Pierce,50,2,,5,4,39,247,82,162,3,0
GA,Polk,0,0,,0,0,0,0,0,0,0,0
GA,Polk County Police Department,39,1,,4,5,29,590,167,340,83,
GA,Putnam,34,0,,1,0,33,358,94,258,6,
GA,Quitman,5,0,,0,0,5,36,15,21,0,
GA,Rabun,14,0,,0,0,14,260,62,189,9,0
GA,Randolph,15,0,,0,1,14,53,24,27,2,0
GA,Schley,2,0,,1,0,1,20,6,13,1,0
GA,Screven,13,0,,1,2,10,146,65,62,19,0
GA,Seminole,21,0,,0,0,21,70,17,49,4,0
GA,Stephens,35,1,,7,3,24,312,77,229,6,0
GA,Stewart,0,0,,0,0,0,3,0,2,1,
GA,Sumter,33,0,,6,4,23,212,60,137,15,0
GA,Talbot,6,0,,0,0,6,67,30,31,6,0
GA,Taliaferro,2,0,,0,1,1,30,11,17,2,0
GA,Tattnall,29,1,,4,4,20,244,72,163,9,0
GA,Taylor,9,0,,0,0,9,80,32,39,9,1
GA,Thomas,63,0,,7,12,44,484,147,289,48,6
GA,Tift,95,3,,4,13,75,711,183,500,28,0
GA,Towns,39,1,,0,0,38,128,52,70,6,0
GA,Treutlen,2,0,,0,0,2,54,16,33,5,
GA,Troup,42,0,,10,7,25,665,159,455,51,0
GA,Turner,7,0,,1,0,6,43,12,27,4,
GA,Union,21,0,,4,1,16,243,60,160,23,0
GA,Upson,30,0,,3,8,19,262,58,181,23,0
GA,Ware,82,0,,4,12,66,604,143,440,21,9
GA,Warren,10,0,,1,1,8,62,21,36,5,
GA,Washington,14,0,,0,1,13,131,35,84,12,0
GA,Wayne,149,1,,6,4,138,731,169,528,34,2
GA,Webster,1,0,,0,0,1,7,3,4,0,0
GA,White,30,0,,2,0,28,287,80,177,30,0
GA,Wilcox,12,0,,1,0,11,61,34,27,0,0
GA,Wilkes,30,1,,2,4,23,21,7,13,1,1
GA,Wilkinson,13,2,,0,0,11,40,12,20,8,3
HI,Maui Police Department,450,5,77,,68,300,"5,741",978,"4,046",717,150
HI,Hawaii Police Department,467,9,115,,69,274,"4,928",823,"3,580",525,41
HI,Kauai Police Department,169,5,45,,21,98,"1,492",458,968,66,31
ID,Ada,202,1,53,,12,136,700,154,502,44,9
ID,Bannock,5,1,0,,0,4,35,7,25,3,2
ID,Boise,14,1,1,,0,12,63,12,46,5,0
ID,Bonneville,151,0,11,,5,135,682,191,455,36,6
ID,Butte,0,0,0,,0,0,3,0,3,0,0
ID,Canyon,93,1,14,,0,78,528,212,271,45,6
ID,Franklin,2,0,0,,0,2,49,4,42,3,0
ID,Gem,19,0,3,,0,16,31,10,19,2,2
ID,Jefferson,17,0,3,,0,14,117,32,81,4,0
ID,Kootenai,103,6,19,,6,72,"1,174",346,769,59,11
ID,Nez Perce,8,0,1,,1,6,108,31,72,5,0
ID,Owyhee,18,1,1,,0,16,65,15,43,7,1
ID,Adams,4,0,0,,0,4,33,3,27,3,0
ID,Bear Lake,2,0,0,,0,2,26,12,14,0,0
ID,Benewah,18,2,1,,0,15,71,22,43,6,0
ID,Bingham,41,0,15,,0,26,203,52,111,40,2
ID,Blaine,5,0,1,,0,4,42,14,24,4,1
ID,Bonner,63,1,13,,2,47,376,150,198,28,3
ID,Boundary,6,0,2,,0,4,85,40,39,6,1
ID,Camas,0,0,0,,0,0,8,3,5,0,0
ID,Caribou,1,0,0,,0,1,11,4,4,3,0
ID,Cassia,49,0,8,,3,38,363,133,207,23,1
ID,Clark,3,0,1,,0,2,8,1,6,1,0
ID,Clearwater,14,1,0,,0,13,57,20,30,7,4
ID,Custer,2,0,1,,0,1,27,4,21,2,0
ID,Elmore,14,0,1,,1,12,58,14,39,5,0
ID,Fremont,6,0,3,,0,3,62,9,50,3,0
ID,Gooding,12,0,1,,0,11,64,23,32,9,0
ID,Idaho,24,0,5,,0,19,99,41,52,6,0
ID,Jerome,31,0,2,,0,29,116,56,48,12,2
ID,Latah,32,0,5,,0,27,163,66,90,7,1
ID,Lemhi,7,1,0,,1,5,31,17,10,4,0
ID,Lewis,2,0,0,,0,2,16,3,12,1,0
ID,Lincoln,2,0,0,,0,2,2,0,2,0,0
ID,Madison,15,0,9,,0,6,85,40,39,6,1
ID,Minidoka,18,0,3,,0,15,141,34,93,14,0
ID,Oneida,5,0,1,,0,4,34,14,18,2,0
ID,Payette,13,0,3,,0,10,77,21,50,6,1
ID,Power,0,0,0,,0,0,28,5,18,5,2
ID,Shoshone,47,0,4,,2,41,158,49,90,19,0
ID,Teton,6,1,0,,0,5,74,14,53,7,0
ID,Twin Falls,34,0,4,,2,28,236,120,86,30,1
ID,Valley,11,0,4,,0,7,67,19,47,1,0
ID,Washington,8,0,7,,0,1,46,13,33,0,0
IL,Alexander,9,0,0,,0,9,39,11,24,4,1
IL,Bond,0,0,0,,0,0,63,24,38,1,0
IL,Boone,28,0,12,,2,14,167,25,135,7,3
IL,Champaign,110,3,21,,12,74,655,202,419,34,7
IL,Clinton,9,0,1,,0,8,64,11,50,3,0
IL,Cook,167,7,29,,22,109,689,162,447,80,16
IL,De Kalb,34,2,11,,3,18,148,25,118,5,2
IL,De Witt,9,0,5,,1,3,25,10,15,0,1
IL,DuPage,73,1,8,,20,44,764,140,586,38,0
IL,Ford,19,0,6,,2,11,84,25,50,9,5
IL,Grundy,11,0,5,,0,6,146,38,99,9,1
IL,Henry,4,0,0,,2,2,46,14,31,1,0
IL,Jackson,21,0,1,,0,20,242,79,152,11,1
IL,Jersey,11,0,6,,0,5,107,45,59,3,0
IL,Kane,80,0,15,,5,60,511,135,349,27,5
IL,Kankakee,45,5,1,,6,33,366,158,185,23,17
IL,Kendall,36,0,8,,4,24,222,71,140,11,4
IL,Lake,90,0,20,,18,52,"1,055",270,733,52,7
IL,Macon,28,0,5,,4,19,217,48,167,2,1
IL,Macoupin,10,1,0,,0,9,150,30,113,7,0
IL,Madison,119,0,17,,16,86,"1,023",239,731,53,6
IL,Marshall,7,0,3,,0,4,41,21,16,4,0
IL,McHenry,74,0,17,,2,55,275,53,208,14,0
IL,McLean,20,2,5,,0,13,99,34,58,7,0
IL,Menard,4,0,2,,1,1,31,8,23,0,0
IL,Mercer,15,0,2,,1,12,64,29,32,3,1
IL,Monroe,3,0,1,,0,2,42,13,28,1,0
IL,Peoria,101,0,15,,15,71,833,166,615,52,15
IL,Piatt,22,0,1,,0,21,105,31,69,5,1
IL,Rock Island,41,0,6,,4,31,304,64,239,1,3
IL,Sangamon,151,1,36,,17,97,602,211,343,48,7
IL,Stark,0,0,0,,0,0,41,10,28,3,0
IL,St. Clair,99,2,20,,24,53,632,356,238,38,6
